Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams,Player-additional,Year
QB,Peyton Manning,DEN,36,14,16,16,400,583,4659,37,11,23,6,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,MannPe00,2012
QB,Tom Brady,NWE,35,12,16,16,401,637,4827,34,8,23,32,4,0,0,0,0.0,0.0,0,SN: 1st Tm,BradTo00,2012
QB,Aaron Rodgers,GNB,29,7,16,16,371,552,4295,39,8,54,259,2,1,-1,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,RodgAa00,2012
RB,Adrian Peterson,MIN,27,5,16,16,0,0,0,0,0,348,2097,12,40,217,1,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,PeteAd01,2012
RB,Marshawn Lynch,SEA,26,5,16,15,0,0,0,0,0,315,1590,11,23,196,1,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,LyncMa00,2012
RB,Arian Foster,HOU,26,3,16,16,0,0,0,0,0,351,1424,15,40,217,2,0.0,0.0,0,FW: 1st Tm All-Conf. SN: 1st Tm,FostAr00,2012
RB,Jamaal Charles,KAN,26,4,16,15,0,0,0,0,0,285,1509,5,35,236,1,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,CharJa00,2012
RB,C.J. Spiller,BUF,25,2,16,9,0,0,0,0,0,207,1244,6,43,459,2,0.0,0.0,0,PFF: 2nd Tm,SpilC.00,2012
RB,Alfred Morris,WAS,24,Rook,16,16,0,0,0,0,0,335,1613,13,11,77,0,0.0,0.0,0,AP: 2nd Tm,MorrAl00,2012
FB,Vonta Leach,BAL,31,8,16,13,0,0,0,0,0,9,32,1,21,143,0,0.0,0.0,0,AP: 1st Tm PFF: 1st Tm,LeacVo00,2012
FB,Marcel Reece,OAK,27,3,16,14,0,0,0,0,0,59,271,0,52,496,1,0.0,0.0,0,PFF: 2nd Tm,ReecMa00,2012
FB,Jerome Felton,MIN,26,4,16,7,0,0,0,0,0,0,0,0,3,35,0,0.0,0.0,0,AP: 2nd Tm,FeltJe00,2012
WR,Calvin Johnson,DET,27,5,16,16,0,0,0,0,0,0,0,0,122,1964,5,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,JohnCa00,2012
WR,Brandon Marshall,CHI,28,6,16,16,0,0,0,0,0,1,-2,0,118,1508,11,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,MarsBr00,2012
WR,Andre Johnson,HOU,31,9,16,16,0,0,0,0,0,0,0,0,112,1598,4,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm,JohnAn02,2012
WR,Reggie Wayne,IND,34,11,16,15,0,0,0,0,0,1,-5,0,106,1355,5,0.0,0.0,0,PFF: 1st Tm,WaynRe00,2012
WR,A.J. Green,CIN,24,1,16,16,0,0,0,0,0,4,38,0,97,1350,11,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,GreeA.00,2012
