player_id,player_name,position,season,team,solo_tackle,assist_tackle,sack,safety,interception,def_touchdown,fumble_forced,games_played_season
00-0000551,Brendon Ayanbadejo,ILB,2012,BAL,14,20,4,0,0,0,0,0
00-0000585,Champ Bailey,CB,2012,DEN,67,6,0,0,4,0,0,0
00-0000741,Ronde Barber,FS,2012,TB,76,29,3,0,8,2,2,10
00-0001820,Keith Brooking,OLB,2012,DEN,31,25,4,0,0,0,2,0
00-0005322,London Fletcher,ILB,2012,WAS,82,76,11,0,10,0,2,0
00-0007611,Vonnie Holliday,DE,2012,ARI,7,7,0,0,0,0,0,17
00-0009889,Ray Lewis,ILB,2012,BAL,36,24,2,0,0,0,3,0
00-0012871,Mike Peterson,OLB,2012,ATL,8,4,0,0,0,0,0,12
00-0015474,Takeo Spikes,ILB,2012,LAC,34,52,3,0,0,0,4,11
00-0018093,Antoine Winfield,CB,2012,MIN,82,33,3,0,6,0,0,0
00-0018227,Charles Woodson,FS,2012,GB,28,17,7,0,2,0,2,0
00-0019104,Paris Lenon,MLB,2012,ARI,75,41,8,0,4,0,3,12
00-0019456,Brian Urlacher,MLB,2012,CHI,57,19,0,0,2,2,5,3
00-0019538,Clark Haggans,OLB,2012,SF,2,0,0,0,0,0,0,3
00-0019546,John Abraham,OLB,2012,ATL,65,4,37,0,0,3,18,2
00-0019986,Juqua Parker,DE,2012,CLE,36,9,23,0,0,0,7,5
00-0020286,Ron Edwards,NT,2012,CAR,10,7,4,0,0,0,0,13
00-0020382,Kyle Vanden Bosch,DE,2012,DET,43,16,16,3,0,0,3,11
00-0020426,Casey Hampton,NT,2012,PIT,14,17,0,0,0,0,0,2
00-0020442,Richard Seymour,DT,2012,LV,22,3,12,0,0,0,0,7
00-0020489,Andre Carter,DE,2012,LV,18,11,9,0,0,0,3,1
00-0020495,Nate Clements,CB,2012,CIN,30,25,0,0,3,0,3,0
00-0020505,Adrian Wilson,SS,2012,ARI,51,17,12,0,2,0,2,1
00-0020515,Ryan Pickett,DT,2012,GB,25,29,0,0,1,0,0,0
00-0020535,Justin Smith,DE,2012,SF,58,28,14,0,1,0,0,0
00-0020712,James Harrison,OLB,2012,PIT,59,34,22,0,0,0,6,6
00-0020840,Ryan Clark,FS,2012,PIT,66,44,0,0,4,0,4,15
00-0020867,Ma'ake Kemoeatu,NT,2012,BAL,15,18,4,0,0,0,2,0
00-0020873,Bart Scott,ILB,2012,NYJ,45,32,11,0,2,0,0,2
00-0021081,Bryan Thomas,OLB,2012,NYJ,30,8,11,0,0,0,0,3
00-0021085,Will Witherspoon,OLB,2012,TEN,25,22,2,0,2,2,4,16
00-0021092,Justin Bannan,DT,2012,DEN,26,18,0,0,0,0,2,0
00-0021140,Julius Peppers,DE,2012,CHI,65,13,47,0,1,0,6,8
00-0021146,Dwight Freeney,DE,2012,IND,29,2,19,0,0,0,4,6
00-0021186,Sheldon Brown,CB,2012,CLE,60,9,3,0,8,2,4,5
00-0021219,Chris Hope,SS,2012,ATL,10,6,0,0,0,0,0,0
00-0021246,Larry Foote,ILB,2012,PIT,71,57,18,0,0,0,9,11
00-0021259,Scott Fujita,OLB,2012,CLE,9,7,3,0,0,0,0,12
00-0021261,Rocky Bernard,DT,2012,NYG,13,21,4,0,0,0,0,7
00-0021262,Kenyon Coleman,DE,2012,DAL,7,8,0,0,0,0,2,2
00-0021344,Brett Keisel,DE,2012,PIT,27,33,17,0,1,1,0,2
00-0021377,Ed Reed,FS,2012,BAL,46,19,0,0,8,2,0,0
00-0021381,Quentin Jammer,CB,2012,LAC,50,19,0,0,6,2,2,9
00-0021512,Quintin Mikell,FS,2012,LA,79,23,10,0,0,0,13,13
00-0021577,Chris Clemons,DE,2012,SEA,59,14,42,0,1,0,10,0
00-0021604,Israel Idonije,DE,2012,CHI,48,25,31,0,0,0,4,1
00-0021645,Tracy White,ILB,2012,NE,4,4,0,0,0,0,0,0
00-0021654,Joselio Hanson,CB,2012,LV,53,14,0,0,4,0,2,9
00-0021679,Shaun Smith,DT,2012,KC,10,2,0,0,0,0,0,10
00-0021706,Cullen Jenkins,DT,2012,PHI,36,5,14,0,0,0,4,5
00-0021891,Ivan Taylor,CB,2012,PIT,26,9,0,0,2,0,0,7
00-0021949,Chris Johnson,CB,2012,BAL,7,0,0,0,0,0,2,4
00-0021951,Bryan Scott,OLB,2012,BUF,46,22,0,0,9,2,5,3
00-0021956,Asante Samuel,CB,2012,ATL,40,4,0,0,10,2,0,0
00-0021977,Osi Umenyiora,DE,2012,NYG,41,24,20,0,0,2,6,10
00-0021989,Ty Warren,DT,2012,DEN,1,0,0,0,0,0,0,8
00-0021990,Nick Barnett,ILB,2012,BUF,65,57,6,0,0,0,7,12
00-0021994,Drayton Florence,CB,2012,DET,20,3,0,0,2,0,0,6
00-0021995,Chris Kelsay,DE,2012,BUF,20,3,9,5,0,0,0,1
00-0021998,Cory Redding,DT,2012,IND,33,14,8,0,1,0,0,0
00-0022008,Terrence McGee,CB,2012,BUF,6,2,0,0,0,0,0,11
00-0022010,Nick Eason,DT,2012,ARI,8,4,4,0,0,0,0,9
00-0022034,Mario Haggan,MLB,2012,LA,11,2,3,0,0,0,4,12
00-0022040,Scott Shanle,OLB,2012,NO,11,11,3,0,0,0,0,11
00-0022045,Terence Newman,CB,2012,CIN,50,30,0,0,4,0,2,0
00-0022046,Marcus Trufant,CB,2012,SEA,22,12,0,0,0,0,2,0
00-0022059,Robert Mathis,OLB,2012,IND,48,11,30,0,2,0,3,0
00-0022067,Yeremiah Bell,SS,2012,NYJ,74,19,4,0,0,0,0,17
00-0022073,Kevin Williams,DT,2012,MIN,24,16,8,0,0,0,0,0
00-0022077,Nnamdi Asomugha,CB,2012,PHI,47,10,0,0,2,0,0,11
00-0022080,Rashean Mathis,CB,2012,JAX,20,0,0,0,0,0,0,14
00-0022119,Troy Polamalu,SS,2012,PIT,28,9,4,0,2,0,0,16
00-0022120,Calvin Pace,OLB,2012,NYJ,47,21,11,0,0,0,0,2
00-0022123,Charles Tillman,CB,2012,CHI,75,13,0,0,6,6,20,1
00-0022128,Lance Briggs,OLB,2012,CHI,80,34,7,0,4,4,4,6
00-0022137,Bradie James,ILB,2012,HOU,43,39,3,0,0,0,0,0
00-0022139,Jarret Johnson,OLB,2012,LAC,27,19,6,0,0,3,4,6
00-0022147,Aubrayo Franklin,NT,2012,LAC,8,12,0,0,0,0,0,2
00-0022161,Terrell Suggs,LB,2012,BAL,20,11,8,0,1,0,0,0
00-0022167,Chris Crocker,SS,2012,CIN,33,13,0,0,6,0,0,4
00-0022169,Antonio Garay,DT,2012,LAC,6,13,4,0,0,0,0,2
00-0022218,Erik Coleman,SS,2012,DET,29,19,0,0,2,0,0,6
00-0022247,Mike Adams,S,2012,DEN,65,20,5,5,0,0,5,0
00-0022341,George Wilson,FS,2012,BUF,56,43,0,0,0,0,1,7
00-0022409,Jordan Babineaux,SS,2012,TEN,59,32,0,0,2,0,0,8
00-0022527,Jabari Greer,CB,2012,NO,40,15,0,0,6,0,0,7
00-0022539,Tommy Kelly,DT,2012,LV,28,25,4,0,0,0,0,9
00-0022610,Spencer Johnson,DT,2012,BUF,12,12,6,0,0,0,3,13
00-0022695,Jason Babin,OLB,2012,JAX,15,5,5,0,0,0,7,7
00-0022695,Jason Babin,OLB,2012,PHI,36,8,20,0,0,0,8,7
00-0022707,Demorrio Williams,ILB,2012,LAC,33,14,0,0,5,5,1,5
00-0022712,Vince Wilfork,NT,2012,NE,41,19,9,0,1,0,7,0
00-0022723,Shaun Phillips,OLB,2012,LAC,59,25,44,5,1,0,11,13
00-0022735,Dunta Robinson,CB,2012,ATL,78,16,7,0,2,0,3,0
00-0022740,Jared Allen,DE,2012,MIN,80,11,46,0,0,0,4,0
00-0022750,Dwan Edwards,DT,2012,CAR,44,29,26,0,1,1,5,2
00-0022767,Jacques Reeves,CB,2012,KC,4,0,0,0,0,0,0,8
00-0022778,Jonathan Vilma,MLB,2012,NO,26,18,6,0,2,2,2,6
00-0022780,D.J. Williams,MLB,2012,DEN,12,4,0,0,0,0,0,0
00-0022793,Antonio Smith,DE,2012,HOU,41,15,30,0,0,0,6,0
00-0022805,Randy Starks,DE,2012,MIA,34,12,19,0,2,0,0,14
00-0022839,Daryl Smith,OLB,2012,JAX,5,1,0,0,0,0,0,5
00-0022842,Madieu Williams,FS,2012,WAS,58,45,4,0,2,2,0,0
00-0022843,Shawntae Spencer,CB,2012,LV,4,0,0,0,0,0,0,11
00-0022863,Isaac Sopoaga,DT,2012,SF,24,8,4,0,0,0,1,0
00-0022867,Robert Geathers,DE,2012,CIN,22,21,13,0,0,0,2,0
00-0022900,Will Allen,SS,2012,PIT,14,16,0,0,0,0,2,18
00-0022906,Corey Williams,DT,2012,DET,12,4,7,0,0,0,4,4
00-0022911,Will Smith,LB,2012,NO,53,31,24,0,0,0,0,14
00-0022914,Chris Gamble,CB,2012,CAR,8,7,0,0,0,0,0,4
00-0022923,DeAngelo Hall,FS,2012,WAS,67,38,6,0,8,0,2,0
00-0022927,Karlos Dansby,ILB,2012,MIA,103,42,6,0,0,0,2,5
00-0022930,Darnell Dockett,DT,2012,ARI,32,13,9,0,3,0,2,1
00-0023013,Brandon Browner,CB,2012,SEA,41,10,0,0,6,0,6,0
00-0023215,Heath Farwell,MLB,2012,SEA,2,2,0,0,0,0,0,3
00-0023259,Lorenzo Alexander,LB,2012,WAS,25,15,11,0,0,0,0,0
00-0023287,Jim Leonhard,SS,2012,DEN,16,6,2,0,4,0,3,0
00-0023327,Gary Gibson,DT,2012,TB,16,5,0,0,0,0,0,2
00-0023368,Cameron Wake,LB,2012,MIA,83,23,60,0,0,0,11,3
00-0023404,Atari Bigby,SS,2012,LAC,38,27,0,0,0,0,1,1
00-0023405,Abram Elam,SS,2012,KC,27,9,0,0,0,0,0,1
00-0023441,Adam Jones,CB,2012,CIN,36,5,4,0,0,0,2,0
00-0023443,Antrel Rolle,S,2012,NYG,60,41,0,0,5,0,2,2
00-0023444,Carlos Rogers,CB,2012,SF,53,9,4,0,2,0,0,0
00-0023445,DeMarcus Ware,DE,2012,DAL,58,37,45,0,0,2,19,6
00-0023446,Shawne Merriman,OLB,2012,BUF,16,8,4,0,0,0,0,15
00-0023448,Thomas Davis,LB,2012,CAR,77,37,1,0,2,0,5,14
00-0023449,Derrick Johnson,LB,2012,KC,119,21,7,0,0,0,6,5
00-0023455,Marcus Spears,DE,2012,DAL,9,20,4,0,0,0,0,1
00-0023466,Mike Patterson,DT,2012,PHI,5,4,4,0,0,0,0,2
00-0023471,Barrett Ruud,MLB,2012,HOU,11,4,4,0,0,0,0,0
00-0023472,Shaun Cody,NT,2012,HOU,9,9,0,0,1,0,0,7
00-0023473,Stanford Routt,CB,2012,KC,23,2,0,0,4,0,2,3
00-0023477,Kevin Burnett,OLB,2012,MIA,84,37,11,0,0,0,2,10
00-0023478,Corey Webster,CB,2012,NYG,53,13,0,0,8,0,0,1
00-0023485,Ron Bartell,CB,2012,DET,6,3,0,0,0,0,0,15
00-0023485,Ron Bartell,CB,2012,LV,14,5,0,0,0,0,0,15
00-0023494,Jonathan Babineaux,DT,2012,ATL,45,8,17,0,3,0,4,0
00-0023495,Kelvin Hayden,CB,2012,CHI,26,11,0,0,2,0,0,4
00-0023509,Justin Tuck,DE,2012,NYG,36,25,16,0,0,0,0,4
00-0023523,Sione Pouha,NT,2012,NYJ,23,9,4,0,0,0,0,5
00-0023533,LeRoy Hill,OLB,2012,SEA,33,20,7,0,0,0,2,0
00-0023537,Sean Considine,SS,2012,BAL,1,1,0,0,0,0,0,11
00-0023539,Travis Daniels,FS,2012,KC,13,3,0,0,0,0,0,11
00-0023557,Kerry Rhodes,FS,2012,ARI,67,10,3,0,8,3,6,10
00-0023559,Brady Poppinga,OLB,2012,DAL,4,4,0,0,0,0,0,2
00-0023566,Chris Canty,DE,2012,NYG,27,12,12,0,1,1,0,4
00-0023567,James Sanders,FS,2012,ARI,5,5,0,0,0,0,0,6
00-0023569,Matt Giordano,SS,2012,LV,37,16,0,0,4,0,1,2
00-0023579,Trent Cole,OLB,2012,PHI,33,22,13,0,0,0,3,14
00-0023590,Gerald Sensabaugh,FS,2012,DAL,39,16,0,0,1,0,2,2
00-0023593,Michael Boley,OLB,2012,NYG,56,49,3,0,7,0,1,1
00-0023614,Chris Harris,SS,2012,JAX,1,0,0,0,0,0,0,4
00-0023624,C.J. Mosley,DT,2012,JAX,38,18,9,0,0,0,3,3
00-0023648,Kevin Vickerson,DT,2012,DEN,36,14,7,0,0,0,2,0
00-0023656,Jay Ratliff,NT,2012,DAL,9,8,0,0,0,0,0,7
00-0023693,Chase Blackburn,OLB,2012,NYG,61,47,12,0,3,0,6,3
00-0023727,Dimitri Patterson,CB,2012,CLE,24,6,0,0,1,0,0,6
00-0023727,Dimitri Patterson,CB,2012,MIA,5,0,0,0,0,0,0,6
00-0023750,Mario Williams,DE,2012,BUF,58,21,40,0,0,0,6,12
00-0023904,Garrett McIntyre,OLB,2012,NYJ,29,12,15,0,1,0,0,6
00-0023918,Jarrett Bush,CB,2012,GB,4,0,0,0,0,0,0,7
00-0023954,Stephen Bowen,DE,2012,WAS,11,23,7,0,0,0,0,0
00-0023998,Steve Gregory,SS,2012,NE,35,8,0,0,6,0,4,0
00-0024030,Tom Johnson,DT,2012,NO,25,11,8,0,0,0,0,9
00-0024058,John Chick,DE,2012,JAX,2,0,0,0,0,0,0,8
00-0024061,Tramon Williams,CB,2012,GB,55,11,0,0,4,0,0,0
00-0024102,Tony McDaniel,DT,2012,MIA,6,7,3,0,0,0,0,11
00-0024129,Blake Costanzo,OLB,2012,CHI,3,1,0,0,0,0,0,2
00-0024183,Brent Grimes,CB,2012,ATL,6,0,0,0,0,0,0,2
00-0024220,A.J. Hawk,OLB,2012,GB,84,52,12,0,1,0,0,0
00-0024222,Michael Huff,FS,2012,LV,36,24,0,0,4,0,0,10
00-0024223,Donte Whitner,SS,2012,SF,57,26,0,0,2,2,4,0
00-0024224,Ernie Sims,OLB,2012,DAL,27,17,2,0,0,0,0,2
00-0024227,Haloti Ngata,DT,2012,BAL,43,30,22,0,0,0,0,0
00-0024228,Kamerion Wimbley,OLB,2012,TEN,28,25,26,0,0,0,6,10
00-0024229,Brodrick Bunkley,NT,2012,NO,16,15,11,0,0,0,0,3
00-0024231,Jason Allen,CB,2012,CIN,1,1,0,0,0,0,0,4
00-0024232,Chad Greenway,OLB,2012,MIN,104,60,11,0,2,0,0,0
00-0024233,Bobby Carpenter,OLB,2012,NE,0,1,0,0,0,0,0,1
00-0024234,Antonio Cromartie,CB,2012,NYJ,32,6,0,0,6,2,0,1
00-0024235,Tamba Hali,OLB,2012,KC,75,12,35,0,0,0,4,16
00-0024237,Manny Lawson,OLB,2012,CIN,31,13,6,0,0,0,3,0
00-0024239,Johnathan Joseph,CB,2012,HOU,53,6,0,0,4,2,0,0
00-0024247,Mathias Kiwanuka,DE,2012,NYG,25,18,12,0,0,0,0,2
00-0024248,DeMeco Ryans,ILB,2012,PHI,98,34,5,0,2,0,1,6
00-0024249,D'Qwell Jackson,ILB,2012,CLE,72,62,14,0,5,2,4,2
00-0024250,Rocky McIntosh,OLB,2012,LA,38,9,4,0,2,0,0,3
00-0024253,Thomas Howard,OLB,2012,CIN,6,0,4,0,0,0,0,15
00-0024257,Danieal Manning,FS,2012,HOU,59,24,3,0,4,2,9,0
00-0024258,Roman Harper,SS,2012,NO,90,32,0,0,4,0,0,12
00-0024263,Cedric Griffin,CB,2012,WAS,24,11,0,0,1,0,2,0
00-0024269,Bernard Pollard,SS,2012,BAL,77,31,8,0,2,0,0,0
00-0024273,Richard Marshall,CB,2012,MIA,17,2,0,0,2,0,0,14
00-0024277,Tim Jennings,CB,2012,CHI,72,6,0,0,20,3,0,15
00-0024278,Darryl Tapp,DE,2012,PHI,11,8,3,0,0,0,0,5
00-0024303,James Anderson,OLB,2012,CAR,41,34,0,0,0,0,0,7
00-0024306,Frostee Rucker,DE,2012,CLE,41,20,15,0,0,0,4,7
00-0024307,Jason Hatcher,DE,2012,DAL,36,32,18,0,0,0,0,7
00-0024312,Eric Smith,SS,2012,NYJ,13,5,0,0,2,0,0,7
00-0024331,Stephen Tulloch,MLB,2012,DET,77,47,3,0,0,0,2,15
00-0024338,Domata Peko,DT,2012,CIN,24,40,10,0,0,0,0,0
00-0024339,Barry Cofield,NT,2012,WAS,27,28,13,0,3,0,4,0
00-0024341,Elvis Dumervil,DE,2012,DEN,57,30,42,5,2,3,22,0
00-0024342,Ray Edwards,DE,2012,ATL,9,4,0,0,1,0,0,5
00-0024348,Kyle Williams,DT,2012,BUF,40,29,22,0,0,0,0,11
00-0024349,Rob Ninkovich,DE,2012,NE,53,31,29,0,0,0,16,0
00-0024356,Brandon Johnson,OLB,2012,PIT,0,1,0,0,0,0,0,2
00-0024360,Dawan Landry,SS,2012,JAX,82,20,0,0,2,0,0,3
