position,solo_tackle,assist_tackle,sack,safety,interception,def_touchdown,fumble_forced,games_played_season,dpoy,allpro
7,14,20,4,0,0,0,0,0,0,0
1,67,6,0,0,4,0,0,0,0,1
6,76,29,3,0,8,2,2,10,0,0
11,31,25,4,0,0,0,2,0,0,0
7,82,76,11,0,10,0,2,0,0,1
3,7,7,0,0,0,0,0,17,0,0
7,36,24,2,0,0,0,3,0,0,0
11,8,4,0,0,0,0,0,12,0,0
7,34,52,3,0,0,0,4,11,0,0
1,82,33,3,0,6,0,0,0,0,1
6,28,17,7,0,2,0,2,0,0,0
9,75,41,8,0,4,0,3,12,0,0
9,57,19,0,0,2,2,5,3,0,0
11,2,0,0,0,0,0,0,3,0,0
11,65,4,37,0,0,3,18,2,0,0
3,36,9,23,0,0,0,7,5,0,0
10,10,7,4,0,0,0,0,13,0,0
3,43,16,16,3,0,0,3,11,0,0
10,14,17,0,0,0,0,0,2,0,0
4,22,3,12,0,0,0,0,7,0,0
3,18,11,9,0,0,0,3,1,0,0
1,30,25,0,0,3,0,3,0,0,0
13,51,17,12,0,2,0,2,1,0,0
4,25,29,0,0,1,0,0,0,0,0
3,58,28,14,0,1,0,0,0,0,0
11,59,34,22,0,0,0,6,6,0,0
6,66,44,0,0,4,0,4,15,0,0
10,15,18,4,0,0,0,2,0,0,0
7,45,32,11,0,2,0,0,2,0,0
11,30,8,11,0,0,0,0,3,0,0
11,25,22,2,0,2,2,4,16,0,0
4,26,18,0,0,0,0,2,0,0,0
3,65,13,47,0,1,0,6,8,0,1
3,29,2,19,0,0,0,4,6,0,0
1,60,9,3,0,8,2,4,5,0,0
13,10,6,0,0,0,0,0,0,0,0
7,71,57,18,0,0,0,9,11,0,0
11,9,7,3,0,0,0,0,12,0,0
4,13,21,4,0,0,0,0,7,0,0
3,7,8,0,0,0,0,2,2,0,0
3,27,33,17,0,1,1,0,2,0,0
6,46,19,0,0,8,2,0,0,0,0
1,50,19,0,0,6,2,2,9,0,0
6,79,23,10,0,0,0,13,13,0,0
3,59,14,42,0,1,0,10,0,0,0
3,48,25,31,0,0,0,4,1,0,0
7,4,4,0,0,0,0,0,0,0,0
1,53,14,0,0,4,0,2,9,0,0
4,10,2,0,0,0,0,0,10,0,0
4,36,5,14,0,0,0,4,5,0,0
1,26,9,0,0,2,0,0,7,0,0
1,7,0,0,0,0,0,2,4,0,0
11,46,22,0,0,9,2,5,3,0,0
1,40,4,0,0,10,2,0,0,0,0
3,41,24,20,0,0,2,6,10,0,0
4,1,0,0,0,0,0,0,8,0,0
7,65,57,6,0,0,0,7,12,0,0
1,20,3,0,0,2,0,0,6,0,0
3,20,3,9,5,0,0,0,1,0,0
4,33,14,8,0,1,0,0,0,0,0
1,6,2,0,0,0,0,0,11,0,0
4,8,4,4,0,0,0,0,9,0,0
9,11,2,3,0,0,0,4,12,0,0
11,11,11,3,0,0,0,0,11,0,0
1,50,30,0,0,4,0,2,0,0,0
1,22,12,0,0,0,0,2,0,0,0
11,48,11,30,0,2,0,3,0,0,0
13,74,19,4,0,0,0,0,17,0,0
4,24,16,8,0,0,0,0,0,0,0
1,47,10,0,0,2,0,0,11,0,0
1,20,0,0,0,0,0,0,14,0,0
13,28,9,4,0,2,0,0,16,0,0
11,47,21,11,0,0,0,0,2,0,0
1,75,13,0,0,6,6,20,1,0,1
11,80,34,7,0,4,4,4,6,0,0
7,43,39,3,0,0,0,0,0,0,0
11,27,19,6,0,0,3,4,6,0,0
10,8,12,0,0,0,0,0,2,0,0
8,20,11,8,0,1,0,0,0,0,0
13,33,13,0,0,6,0,0,4,0,0
4,6,13,4,0,0,0,0,2,0,0
13,29,19,0,0,2,0,0,6,0,0
12,65,20,5,5,0,0,5,0,0,0
6,56,43,0,0,0,0,1,7,0,0
13,59,32,0,0,2,0,0,8,0,0
1,40,15,0,0,6,0,0,7,0,0
4,28,25,4,0,0,0,0,9,0,0
4,12,12,6,0,0,0,3,13,0,0
11,15,5,5,0,0,0,7,7,0,0
11,36,8,20,0,0,0,8,7,0,0
7,33,14,0,0,5,5,1,5,0,0
10,41,19,9,0,1,0,7,0,0,0
11,59,25,44,5,1,0,11,13,0,0
1,78,16,7,0,2,0,3,0,0,0
3,80,11,46,0,0,0,4,0,0,1
4,44,29,26,0,1,1,5,2,0,0
1,4,0,0,0,0,0,0,8,0,0
9,26,18,6,0,2,2,2,6,0,0
9,12,4,0,0,0,0,0,0,0,0
3,41,15,30,0,0,0,6,0,0,0
3,34,12,19,0,2,0,0,14,0,0
11,5,1,0,0,0,0,0,5,0,0
6,58,45,4,0,2,2,0,0,0,0
1,4,0,0,0,0,0,0,11,0,0
4,24,8,4,0,0,0,1,0,0,0
3,22,21,13,0,0,0,2,0,0,0
13,14,16,0,0,0,0,2,18,0,0
4,12,4,7,0,0,0,4,4,0,0
8,53,31,24,0,0,0,0,14,0,0
1,8,7,0,0,0,0,0,4,0,0
6,67,38,6,0,8,0,2,0,0,0
7,103,42,6,0,0,0,2,5,0,0
4,32,13,9,0,3,0,2,1,0,0
1,41,10,0,0,6,0,6,0,0,0
9,2,2,0,0,0,0,0,3,0,0
8,25,15,11,0,0,0,0,0,0,1
