position,solo_tackle,assist_tackle,sack,safety,interception,def_touchdown,fumble_forced,games_played_season,mvp,opoy,dpoy,allpro
ILB,14,20,4,0,0,0,0,0,0,0,0,0
CB,67,6,0,0,4,0,0,0,0,0,0,1
FS,76,29,3,0,8,2,2,10,0,0,0,0
OLB,31,25,4,0,0,0,2,0,0,0,0,0
ILB,82,76,11,0,10,0,2,0,0,0,0,1
DE,7,7,0,0,0,0,0,17,0,0,0,0
ILB,36,24,2,0,0,0,3,0,0,0,0,0
OLB,8,4,0,0,0,0,0,12,0,0,0,0
ILB,34,52,3,0,0,0,4,11,0,0,0,0
CB,82,33,3,0,6,0,0,0,0,0,0,1
FS,28,17,7,0,2,0,2,0,0,0,0,0
MLB,75,41,8,0,4,0,3,12,0,0,0,0
MLB,57,19,0,0,2,2,5,3,0,0,0,0
OLB,2,0,0,0,0,0,0,3,0,0,0,0
OLB,65,4,37,0,0,3,18,2,0,0,0,0
DE,36,9,23,0,0,0,7,5,0,0,0,0
NT,10,7,4,0,0,0,0,13,0,0,0,0
DE,43,16,16,3,0,0,3,11,0,0,0,0
NT,14,17,0,0,0,0,0,2,0,0,0,0
DT,22,3,12,0,0,0,0,7,0,0,0,0
DE,18,11,9,0,0,0,3,1,0,0,0,0
CB,30,25,0,0,3,0,3,0,0,0,0,0
SS,51,17,12,0,2,0,2,1,0,0,0,0
DT,25,29,0,0,1,0,0,0,0,0,0,0
DE,58,28,14,0,1,0,0,0,0,0,0,0
OLB,59,34,22,0,0,0,6,6,0,0,0,0
FS,66,44,0,0,4,0,4,15,0,0,0,0
NT,15,18,4,0,0,0,2,0,0,0,0,0
ILB,45,32,11,0,2,0,0,2,0,0,0,0
OLB,30,8,11,0,0,0,0,3,0,0,0,0
OLB,25,22,2,0,2,2,4,16,0,0,0,0
DT,26,18,0,0,0,0,2,0,0,0,0,0
DE,65,13,47,0,1,0,6,8,0,0,0,1
DE,29,2,19,0,0,0,4,6,0,0,0,0
CB,60,9,3,0,8,2,4,5,0,0,0,0
SS,10,6,0,0,0,0,0,0,0,0,0,0
ILB,71,57,18,0,0,0,9,11,0,0,0,0
OLB,9,7,3,0,0,0,0,12,0,0,0,0
DT,13,21,4,0,0,0,0,7,0,0,0,0
DE,7,8,0,0,0,0,2,2,0,0,0,0
DE,27,33,17,0,1,1,0,2,0,0,0,0
FS,46,19,0,0,8,2,0,0,0,0,0,0
CB,50,19,0,0,6,2,2,9,0,0,0,0
FS,79,23,10,0,0,0,13,13,0,0,0,0
DE,59,14,42,0,1,0,10,0,0,0,0,0
DE,48,25,31,0,0,0,4,1,0,0,0,0
ILB,4,4,0,0,0,0,0,0,0,0,0,0
CB,53,14,0,0,4,0,2,9,0,0,0,0
DT,10,2,0,0,0,0,0,10,0,0,0,0
DT,36,5,14,0,0,0,4,5,0,0,0,0
CB,26,9,0,0,2,0,0,7,0,0,0,0
CB,7,0,0,0,0,0,2,4,0,0,0,0
OLB,46,22,0,0,9,2,5,3,0,0,0,0
CB,40,4,0,0,10,2,0,0,0,0,0,0
DE,41,24,20,0,0,2,6,10,0,0,0,0
DT,1,0,0,0,0,0,0,8,0,0,0,0
ILB,65,57,6,0,0,0,7,12,0,0,0,0
CB,20,3,0,0,2,0,0,6,0,0,0,0
DE,20,3,9,5,0,0,0,1,0,0,0,0
DT,33,14,8,0,1,0,0,0,0,0,0,0
CB,6,2,0,0,0,0,0,11,0,0,0,0
DT,8,4,4,0,0,0,0,9,0,0,0,0
MLB,11,2,3,0,0,0,4,12,0,0,0,0
OLB,11,11,3,0,0,0,0,11,0,0,0,0
CB,50,30,0,0,4,0,2,0,0,0,0,0
CB,22,12,0,0,0,0,2,0,0,0,0,0
OLB,48,11,30,0,2,0,3,0,0,0,0,0
SS,74,19,4,0,0,0,0,17,0,0,0,0
DT,24,16,8,0,0,0,0,0,0,0,0,0
CB,47,10,0,0,2,0,0,11,0,0,0,0
CB,20,0,0,0,0,0,0,14,0,0,0,0
SS,28,9,4,0,2,0,0,16,0,0,0,0
OLB,47,21,11,0,0,0,0,2,0,0,0,0
CB,75,13,0,0,6,6,20,1,0,0,0,1
OLB,80,34,7,0,4,4,4,6,0,0,0,0
ILB,43,39,3,0,0,0,0,0,0,0,0,0
OLB,27,19,6,0,0,3,4,6,0,0,0,0
NT,8,12,0,0,0,0,0,2,0,0,0,0
LB,20,11,8,0,1,0,0,0,0,0,0,0
SS,33,13,0,0,6,0,0,4,0,0,0,0
DT,6,13,4,0,0,0,0,2,0,0,0,0
SS,29,19,0,0,2,0,0,6,0,0,0,0
S,65,20,5,5,0,0,5,0,0,0,0,0
FS,56,43,0,0,0,0,1,7,0,0,0,0
SS,59,32,0,0,2,0,0,8,0,0,0,0
CB,40,15,0,0,6,0,0,7,0,0,0,0
DT,28,25,4,0,0,0,0,9,0,0,0,0
DT,12,12,6,0,0,0,3,13,0,0,0,0
OLB,15,5,5,0,0,0,7,7,0,0,0,0
OLB,36,8,20,0,0,0,8,7,0,0,0,0
ILB,33,14,0,0,5,5,1,5,0,0,0,0
NT,41,19,9,0,1,0,7,0,0,0,0,0
OLB,59,25,44,5,1,0,11,13,0,0,0,0
CB,78,16,7,0,2,0,3,0,0,0,0,0
DE,80,11,46,0,0,0,4,0,0,0,0,1
DT,44,29,26,0,1,1,5,2,0,0,0,0
CB,4,0,0,0,0,0,0,8,0,0,0,0
MLB,26,18,6,0,2,2,2,6,0,0,0,0
MLB,12,4,0,0,0,0,0,0,0,0,0,0
DE,41,15,30,0,0,0,6,0,0,0,0,0
DE,34,12,19,0,2,0,0,14,0,0,0,0
OLB,5,1,0,0,0,0,0,5,0,0,0,0
FS,58,45,4,0,2,2,0,0,0,0,0,0
CB,4,0,0,0,0,0,0,11,0,0,0,0
DT,24,8,4,0,0,0,1,0,0,0,0,0
DE,22,21,13,0,0,0,2,0,0,0,0,0
SS,14,16,0,0,0,0,2,18,0,0,0,0
DT,12,4,7,0,0,0,4,4,0,0,0,0
LB,53,31,24,0,0,0,0,14,0,0,0,0
CB,8,7,0,0,0,0,0,4,0,0,0,0
FS,67,38,6,0,8,0,2,0,0,0,0,0
ILB,103,42,6,0,0,0,2,5,0,0,0,0
DT,32,13,9,0,3,0,2,1,0,0,0,0
CB,41,10,0,0,6,0,6,0,0,0,0,0
MLB,2,2,0,0,0,0,0,3,0,0,0,0
LB,25,15,11,0,0,0,0,0,0,0,0,1
SS,16,6,2,0,4,0,3,0,0,0,0,0
DT,16,5,0,0,0,0,0,2,0,0,0,0
LB,83,23,60,0,0,0,11,3,0,0,0,1
SS,38,27,0,0,0,0,1,1,0,0,0,0
SS,27,9,0,0,0,0,0,1,0,0,0,0
CB,36,5,4,0,0,0,2,0,0,0,0,0
S,60,41,0,0,5,0,2,2,0,0,0,0
CB,53,9,4,0,2,0,0,0,0,0,0,0
DE,58,37,45,0,0,2,19,6,0,0,0,1
OLB,16,8,4,0,0,0,0,15,0,0,0,0
LB,77,37,1,0,2,0,5,14,0,0,0,0
LB,119,21,7,0,0,0,6,5,0,0,0,0
