Year,Pos,Player,Tm
2024,QB,Josh Allen,Buffalo Bills
2023,QB,Lamar Jackson,Baltimore Ravens
2022,QB,Patrick Mahomes,Kansas City Chiefs
2021,QB,Aaron Rodgers,Green Bay Packers
2020,QB,Aaron Rodgers,Green Bay Packers
2019,QB,Lamar Jackson,Baltimore Ravens
2018,QB,Patrick Mahomes,Kansas City Chiefs
2017,QB,Tom Brady,New England Patriots
2016,QB,Matt Ryan,Atlanta Falcons
2015,QB,Cam Newton,Carolina Panthers
2014,QB,Aaron Rodgers,Green Bay Packers
2013,QB,Peyton Manning,Denver Broncos
2012,RB,Adrian Peterson,Minnesota Vikings
